Year,rank,player,team_ID,points_won,first_place_votes,share,WAR,G,AB,R,H,HR,RBI,SB,BB,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging
2021,11,Bryan Reynolds (2021),PIT,33,0,8%,6,159,559,93,169,24,90,5,75,0.302,0.39,0.522,0.912
2021,12,Nick Castellanos (2021),CIN,24,0,6%,3.1,138,531,95,164,34,100,3,41,0.309,0.362,0.576,0.939
2021,13,Ozzie Albies (2021),ATL,12,0,3%,3.8,156,629,103,163,30,106,20,47,0.259,0.31,0.488,0.799
2021,16,Willy Adames (2021),MIL,8,0,2%,3.6,99,365,61,104,20,58,4,47,0.285,0.366,0.521,0.886
2021,16,Joey Votto (2021),CIN,8,0,2%,3.3,129,448,73,119,36,99,1,77,0.266,0.375,0.563,0.938
2021,18,Manny Machado (2021),SDP,7,0,2%,5,153,564,92,157,28,106,12,63,0.278,0.347,0.489,0.836
2021,21,Buster Posey (2021),SFG,1,0,0%,3.6,113,395,68,120,18,56,0,56,0.304,0.39,0.499,0.889
2021,21,LaMonte Wade Jr. (2021),SFG,1,0,0%,1.4,109,336,52,85,18,56,6,33,0.253,0.326,0.482,0.808
2022,1,Paul Goldschmidt (2022),STL,380,22,90%,7.7,151,561,106,178,35,115,7,79,0.317,0.404,0.578,0.981
2022,2,Manny Machado (2022),SDP,291,7,69%,6.8,150,578,100,172,32,102,9,63,0.298,0.366,0.531,0.898
2022,3,Nolan Arenado (2022),STL,232,1,55%,7.9,148,557,73,163,30,103,5,52,0.293,0.358,0.533,0.891
2022,4,Freddie Freeman (2022),LAD,220,0,52%,6.2,159,612,117,199,21,100,13,84,0.325,0.407,0.511,0.918
2022,5,Mookie Betts (2022),LAD,154,0,37%,6.7,142,572,117,154,35,82,12,55,0.269,0.34,0.533,0.873
2022,6,Austin Riley (2022),ATL,116,0,28%,6.4,159,615,90,168,38,93,2,57,0.273,0.349,0.528,0.878
2022,7,J.T. Realmuto (2022),PHI,98,0,23%,6.5,139,504,75,139,22,84,21,41,0.276,0.342,0.478,0.82
2022,8,Pete Alonso (2022),NYM,81,0,19%,4.4,160,597,95,162,40,131,5,67,0.271,0.352,0.518,0.869
2022,9,Francisco Lindor (2022),NYM,77,0,18%,5.4,161,630,98,170,26,107,16,59,0.27,0.339,0.449,0.788
2022,11,Trea Turner (2022),LAD,29,0,7%,5.2,160,652,101,194,21,100,27,45,0.298,0.343,0.466,0.809
2022,12,Dansby Swanson (2022),ATL,23,0,5%,5.5,162,640,99,177,25,96,18,49,0.277,0.329,0.447,0.776
2022,13,Michael Harris II (2022),ATL,9,0,2%,5.1,114,414,75,123,19,64,20,21,0.297,0.339,0.514,0.853
2022,15,Jeff McNeil (2022),NYM,6,0,1%,5.9,148,533,73,174,9,62,4,40,0.326,0.382,0.454,0.836
2022,16,Kyle Schwarber (2022),PHI,2,0,0%,2.3,155,577,100,126,46,94,10,86,0.218,0.323,0.504,0.827
2022,19,Starling Marte (2022),NYM,1,0,0%,3.8,118,466,76,136,16,63,18,26,0.292,0.347,0.468,0.814
2023,1,Ronald Acuna Jr. (2023),ATL,420,30,100%,8.4,159,643,149,217,41,106,73,80,0.337,0.416,0.596,1.012
2023,2,Mookie Betts (2023),LAD,270,0,64%,8.6,152,584,126,179,39,107,14,96,0.307,0.408,0.579,0.987
2023,3,Freddie Freeman (2023),LAD,227,0,54%,6.8,161,637,131,211,29,102,23,72,0.331,0.41,0.567,0.976
